average_packet_size,packet_length_mean,subflow_fwd_bytes,total_fwd_packet_length,fwd_header_length, fwd_packet_length_max,packet_length_std,packet_length_variance,max_packet_length,init_win_bytes_fwd,flow_iat_max,fwd_iat_max,flow_duration,fwd_segment_size,fwd_packet_length_mean,flow_bytes_per_sec,fwd_iat_total,fwd_iat_mean,fwd_packets_per_second,avg_bwd_segment_size,Label
653.65,653.65,37977,37977,73122,1399,610.7692097,373039.0275,1399,32120,2.113251209,2.113251209,7.340527296,643.6779661,643.6779661,5342.804191,7.340527296,0.126560815,8.03756973,1242,BENIGN
665.8688525,665.8688525,39376,39376,75872,1399,613.0918813,375881.6549,1399,32120,2.113251209,2.113251209,7.341237307,656.2666667,656.2666667,5532.854791,7.341237307,0.124427751,8.173009194,1242,BENIGN
677.6935484,677.6935484,40775,40775,78622,1399,615.1002171,378348.2771,1399,32120,2.113251209,2.113251209,7.341863394,668.442623,668.442623,5722.934049,7.341863394,0.12236439,8.308517433,1242,BENIGN
676.6031746,676.6031746,41384,41384,79792,1399,610.2593396,372416.4616,1399,32120,2.113251209,2.113251209,7.36755538,667.483871,667.483871,5785.636864,7.36755538,0.120779596,8.415274376,1242,BENIGN
583.4383562,583.4383562,30312,42591,81678,2866,677.2458121,458661.89,2866,65160,2.157356501,2.157356501,7.419124365,583.4383562,583.4383562,5740.704415,7.419124365,0.103043394,9.839436086,0,BENIGN
576.4864865,576.4864865,30381,42660,81768,2866,675.2716019,455991.7363,2866,65160,2.157356501,2.157356501,7.419124842,576.4864865,576.4864865,5750.004335,7.419124842,0.101631847,9.97422224,0,BENIGN
569.7066667,569.7066667,30449,42728,81856,2866,673.2854724,453313.3273,2866,65160,2.157356501,2.157356501,7.419629812,569.7066667,569.7066667,5758.777875,7.419629812,0.100265268,10.10832102,0,BENIGN
563.1052632,563.1052632,30517,42796,81944,2866,671.2801709,450617.0679,2866,65160,2.157356501,2.157356501,7.424134016,563.1052632,563.1052632,5764.443356,7.424134016,0.098988454,10.23688417,0,BENIGN
556.6883117,556.6883117,30586,42865,82034,2866,669.2491094,447894.3704,2866,65160,2.157356501,2.157356501,7.427127361,556.6883117,556.6883117,5771.410387,7.427127361,0.09772536,10.36739997,0,BENIGN
667.375,667.375,41470,41470,79916,1399,609.8872719,371962.4844,1399,32120,2.113251209,2.113251209,7.549588919,658.2539683,658.2539683,5657.526583,7.549588919,0.121767563,8.344825219,1242,BENIGN
